"Pro","Wm82","Wm82Gene.V2.1"
"Glyma.01G109100.1.p","Glyma.01G109100.1.p","Glyma.01G109100"
"Glyma.01G109300.1.p","Glyma.01G109300.1.p","Glyma.01G109300"
"Glyma.01G109700.1.p","Glyma.01G109700.1.p","Glyma.01G109700"
"Glyma.01G110200.1.p","Glyma.01G110200.1.p","Glyma.01G110200"
"Glyma.01G110900.1.p","Glyma.01G110900.1.p","Glyma.01G110900"
"Glyma.01G111200.3.p","Glyma.01G111200.3.p","Glyma.01G111200"
"Glyma.01G111300.1.p","Glyma.01G111300.1.p","Glyma.01G111300"
"Glyma.01G112600.1.p","Glyma.01G112600.1.p","Glyma.01G112600"
"Glyma.01G112900.1.p","Glyma.01G112900.1.p","Glyma.01G112900"
"Glyma.01G113000.1.p","Glyma.01G113000.1.p","Glyma.01G113000"
"Glyma.01G113200.1.p","Glyma.01G113200.1.p","Glyma.01G113200"
"Glyma.01G115000.1.p","Glyma.01G115000.1.p","Glyma.01G115000"
"Glyma.01G115900.1.p","Glyma.01G115900.1.p","Glyma.01G115900"
"Glyma.01G116000.2.p","Glyma.01G116000.2.p","Glyma.01G116000"
"Glyma.01G116100.1.p","Glyma.01G116100.1.p","Glyma.01G116100"
"Glyma.01G117800.1.p","Glyma.01G117800.1.p","Glyma.01G117800"
"Glyma.01G119300.1.p","Glyma.01G119300.1.p","Glyma.01G119300"
"Glyma.01G119400.1.p","Glyma.01G119400.1.p","Glyma.01G119400"
"Glyma.01G119500.2.p","Glyma.01G119500.2.p","Glyma.01G119500"
"Glyma.01G119600.1.p","Glyma.01G119600.1.p","Glyma.01G119600"
"Glyma.01G119900.1.p","Glyma.01G119900.1.p","Glyma.01G119900"
"Glyma.01G120100.1.p","Glyma.01G120100.1.p","Glyma.01G120100"
"Glyma.01G121300.1.p","Glyma.01G121300.1.p","Glyma.01G121300"
"Glyma.01G121400.1.p","Glyma.01G121400.1.p","Glyma.01G121400"
"Glyma.01G121700.1.p","Glyma.01G121700.1.p","Glyma.01G121700"
"Glyma.01G122100.1.p","Glyma.01G122100.1.p","Glyma.01G122100"
"Glyma.01G123100.1.p","Glyma.01G123100.1.p","Glyma.01G123100"
"Glyma.01G123300.1.p","Glyma.01G123300.1.p","Glyma.01G123300"
"Glyma.01G124200.1.p","Glyma.01G124200.1.p","Glyma.01G124200"
"Glyma.01G124300.1.p","Glyma.01G124300.1.p","Glyma.01G124300"
"Glyma.01G124500.1.p","Glyma.01G124500.1.p","Glyma.01G124500"
"Glyma.01G124700.1.p","Glyma.01G124700.1.p","Glyma.01G124700"
"Glyma.01G125600.1.p","Glyma.01G125600.1.p","Glyma.01G125600"
"Glyma.01G125800.1.p","Glyma.01G125800.1.p","Glyma.01G125800"
"Glyma.01G126200.1.p","Glyma.01G126200.1.p","Glyma.01G126200"
"Glyma.01G126600.1.p","Glyma.01G126600.1.p","Glyma.01G126600"
"Glyma.01G127100.1.p","Glyma.01G127100.1.p","Glyma.01G127100"
"Glyma.01G127200.1.p","Glyma.01G127200.1.p","Glyma.01G127200"
"Glyma.01G127400.1.p","Glyma.01G127400.1.p","Glyma.01G127400"
"Glyma.01G127500.1.p","Glyma.01G127500.1.p","Glyma.01G127500"
"Glyma.01G129000.1.p","Glyma.01G129000.1.p","Glyma.01G129000"
"Glyma.01G129400.1.p","Glyma.01G129400.1.p","Glyma.01G129400"
"Glyma.01G129700.1.p","Glyma.01G129700.1.p","Glyma.01G129700"
"Glyma.01G130000.1.p","Glyma.01G130000.1.p","Glyma.01G130000"
"Glyma.01G130100.1.p","Glyma.01G130100.1.p","Glyma.01G130100"
"Glyma.01G132000.1.p","Glyma.01G132000.1.p","Glyma.01G132000"
"Glyma.01G132500.1.p","Glyma.01G132500.1.p","Glyma.01G132500"
"Glyma.01G134600.1.p","Glyma.01G134600.1.p","Glyma.01G134600"
"Glyma.01G135200.1.p","Glyma.01G135200.1.p","Glyma.01G135200"
"Glyma.01G136000.1.p","Glyma.01G136000.1.p","Glyma.01G136000"
"Glyma.01G136100.1.p","Glyma.01G136100.1.p","Glyma.01G136100"
"Glyma.01G136500.1.p","Glyma.01G136500.1.p","Glyma.01G136500"
"Glyma.01G137000.1.p","Glyma.01G137000.1.p","Glyma.01G137000"
"Glyma.01G137200.1.p","Glyma.01G137200.1.p","Glyma.01G137200"
"Glyma.01G137300.2.p","Glyma.01G137300.2.p","Glyma.01G137300"
"Glyma.01G137600.1.p","Glyma.01G137600.1.p","Glyma.01G137600"
"Glyma.01G137700.1.p","Glyma.01G137700.1.p","Glyma.01G137700"
"Glyma.01G138300.1.p","Glyma.01G138300.1.p","Glyma.01G138300"
"Glyma.01G138800.3.p","Glyma.01G138800.3.p","Glyma.01G138800"
"Glyma.01G139000.2.p","Glyma.01G139000.2.p","Glyma.01G139000"
